organizer,url,error
NSE,https://www.nseindia.com/event-gallery,"Page.goto: net::ERR_HTTP2_PROTOCOL_ERROR at https://www.nseindia.com/event-gallery
Call log:
  - navigating to ""https://www.nseindia.com/event-gallery"", waiting until ""commit""
"
Indian Society of International Law,https://isilindia.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://isilindia.org/
Call log:
  - navigating to ""https://isilindia.org/"", waiting until ""commit""
"
Indo-German Chamber of Commerce (IGCC),https://indo-german.com/,"Page.goto: net::ERR_CONNECTION_REFUSED at https://indo-german.com/
Call log:
  - navigating to ""https://indo-german.com/"", waiting until ""commit""
"
Indo-American Chamber of Commerce (IACC),https://www.indoamerican.org/,"Page.evaluate: TypeError: Cannot read properties of null (reading 'scrollHeight')
    at eval (eval at evaluate (:302:30), <anonymous>:1:15)
    at eval (<anonymous>)
    at UtilityScript.evaluate (<anonymous>:302:30)
    at UtilityScript.<anonymous> (<anonymous>:1:44)"
European Business Group,https://ebgfederation.in/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://ebgfederation.in/
Call log:
  - navigating to ""https://ebgfederation.in/"", waiting until ""commit""
"
Primary Dealers Association of India (PDAI),NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
Indian Association of Alternative Investment Funds (IAAIF),NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
Banking Codes and Standards Board of India,https://www.bcsbi.org.in/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bcsbi.org.in/
Call log:
  - navigating to ""https://www.bcsbi.org.in/"", waiting until ""commit""
"
Depositories Association of India,NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
Association of Investment Managers of India,NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
Indian Association of Pension Funds,NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
Society of Auditors,http://www.societyofauditors.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at http://www.societyofauditors.org/
Call log:
  - navigating to ""http://www.societyofauditors.org/"", waiting until ""commit""
"
Income Tax Appellate Tribunal Bar Association,NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
Telecom Equipment & Services Export Promotion Council,https://www.tepc.gov.in/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.tepc.gov.in/
Call log:
  - navigating to ""https://www.tepc.gov.in/"", waiting until ""commit""
"
Indian Society of International Law,https://isilindia.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://isilindia.org/
Call log:
  - navigating to ""https://isilindia.org/"", waiting until ""commit""
"
Indian Council of Legal Aid & Advice,NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
IIA Bombay Chapter,https://www.iiabombay.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.iiabombay.org/
Call log:
  - navigating to ""https://www.iiabombay.org/"", waiting until ""commit""
"
ISACA Chennai Chapter,https://www.isacachennai.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.isacachennai.org/
Call log:
  - navigating to ""https://www.isacachennai.org/"", waiting until ""commit""
"
ISACA New Delhi Chapter,https://isacadelhi.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://isacadelhi.org/
Call log:
  - navigating to ""https://isacadelhi.org/"", waiting until ""commit""
"
Nani Palkhivala Arbitration Centre (NPAC),https://www.npac.in/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.npac.in/
Call log:
  - navigating to ""https://www.npac.in/"", waiting until ""commit""
"
Treasury India,NA,"Page.goto: Protocol error (Page.navigate): Cannot navigate to invalid URL
Call log:
  - navigating to ""NA"", waiting until ""commit""
"
India ADR Week,https://indiaadrweek.com/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://indiaadrweek.com/
Call log:
  - navigating to ""https://indiaadrweek.com/"", waiting until ""commit""
"
Indian Society of International Law,https://isilindia.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://isilindia.org/
Call log:
  - navigating to ""https://isilindia.org/"", waiting until ""commit""
"
Nani Palkhivala Arbitration Centre,https://www.npac.in/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.npac.in/
Call log:
  - navigating to ""https://www.npac.in/"", waiting until ""commit""
"
Nani Palkhivala Arbitration Centre (NPAC),https://www.npac.in/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.npac.in/
Call log:
  - navigating to ""https://www.npac.in/"", waiting until ""commit""
"
National Foundation for Corporate Governance (NFCG),https://nfcgindia.org/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://nfcgindia.org/
Call log:
  - navigating to ""https://nfcgindia.org/"", waiting until ""commit""
"
Rajasthan Tax Consultants Association,https://rtcaraj.com/,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://rtcaraj.com/
Call log:
  - navigating to ""https://rtcaraj.com/"", waiting until ""commit""
"
